nom_recherche,nom_affiche,smiles,formule,poids_mol
valine,Polyvaline,CC(C)C(C(=O)O)N,C5H11NO2,117.15
leucine,Polyleucine,CC(C)CC(C(=O)O)N,C6H13NO2,131.17
serine,Polysérine,C(C(C(=O)O)N)O,C3H7NO3,105.09
lysine,Polylysine,C(CCN)CC(C(=O)O)N,C6H14N2O2,146.19
glutamic acid,Polyglutamique,C(CC(=O)O)C(C(=O)O)N,C5H9NO4,147.13
aspartic acid,Polyaspartique,C(C(C(=O)O)N)C(=O)O,C4H7NO4,133.10
11-aminoundecanoic acid,Nylon 11,C(CCCCCN)CCCCC(=O)O,C11H23NO2,201.31
12-aminododecanoic acid,Nylon 12,C(CCCCCC(=O)O)CCCCCN,C12H25NO2,215.33
limonene,Limonène,CC1=CCC(CC1)C(=C)C,C10H16,136.23
linalool,Linalool,CC(=CCCC(C)(C=C)O)C,C10H18O,154.25
geraniol,Géraniol,CC(=CCCC(=CCO)C)C,C10H18O,154.25
farnesol,Farnésol,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37
squalene,Squalène,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,C30H50,410.7
oleic acid,Acide oléique,CCCCCCCCC=CCCCCCCCC(=O)O,C18H34O2,282.5
linoleic acid,Acide linoléique,CCCCCC=CCC=CCCCCCCCC(=O)O,C18H32O2,280.4
linolenic acid,Acide linolénique,CCC=CCC=CCC=CCCCCCCCC(=O)O,C18H30O2,278.4
ricinoleic acid,Acide ricinoléique,CCCCCCC(CC=CCCCCCCCC(=O)O)O,C18H34O3,298.5
palmitic acid,Acide palmitique,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42
stearic acid,Acide stéarique,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.5
erucic acid,Acide érucique,CCCCCCCCC=CCCCCCCCCCCCC(=O)O,C22H42O2,338.6
glycerol,Glycérol,C(C(CO)O)O,C3H8O3,92.09
tributyl citrate,Citrate tributyle,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,C18H32O7,360.4
sinapic acid,Acide sinapique,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,C11H12O5,224.21
syringol,Syringol,COC1=C(C(=CC=C1)OC)O,C8H10O3,154.16
